trip_id,service_id,route_id,trip_headsign,direction_id,shape_id
4503599631512311,4503599631512310,11821949023946609,Borderouge TOULOUSE,1,4503599631512310
4503599631512312,4503599631512310,11821949023946609,Borderouge TOULOUSE,1,4503599631512310
4503599631512313,4503599631512310,11821949023946609,Borderouge TOULOUSE,1,4503599631512310
4503599631512314,4503599631512310,11821949023946609,Borderouge TOULOUSE,1,4503599631512310
4503599631512315,4503599631512310,11821949023946609,Borderouge TOULOUSE,1,4503599631512310
4503599631512316,4503599631512310,11821949023946609,Borderouge TOULOUSE,1,4503599631512310
4503599631512317,4503599631512310,11821949023946609,Borderouge TOULOUSE,1,4503599631512310
4503599631512318,4503599631512310,11821949023946609,Borderouge TOULOUSE,1,4503599631512310
4503599631512319,4503599631512310,11821949023946609,Borderouge TOULOUSE,1,4503599631512310
4503599631512320,4503599631512310,11821949023946609,Borderouge TOULOUSE,1,4503599631512310
4503599631512321,4503599631512310,11821949023946609,Borderouge TOULOUSE,1,4503599631512310
4503599631529079,4503599631529079,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503599631529080,4503599631529079,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503599631529081,4503599631529079,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503599631529082,4503599631529079,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503599631529083,4503599631529079,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503599631529084,4503599631529079,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503599631529085,4503599631529079,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503599631529086,4503599631529079,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503599631529087,4503599631529079,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503599631529088,4503599631529079,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503599631529089,4503599631529079,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503599631529090,4503599631529079,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503599631529091,4503599631529079,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503599631529092,4503599631529079,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503599631529093,4503599631529079,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503599631529094,4503599631529079,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503599631529095,4503599631529079,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503599631529096,4503599631529079,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503599631529097,4503599631529079,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503599631529098,4503599631529079,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503599631529099,4503599631529079,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503599631529100,4503599631529079,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503599631529101,4503599631529079,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503599631529102,4503599631529079,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503599631529103,4503599631529079,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503599631529104,4503599631529079,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503599631529105,4503599631529079,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503599631529106,4503599631529079,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503599631529107,4503599631529079,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503599631529108,4503599631529079,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503599631529109,4503599631529079,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503599631529110,4503599631529079,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503599631529111,4503599631529079,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503599631529112,4503599631529079,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503599631529113,4503599631529079,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503599631529114,4503599631529079,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503599631529115,4503599631529079,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503599631529116,4503599631529079,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503599631529117,4503599631529079,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503599631529118,4503599631529079,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503599631529119,4503599631529079,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503599631529120,4503599631529079,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503599631529121,4503599631529079,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503599631529122,4503599631529079,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503599631529123,4503599631529079,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503599631529124,4503599631529079,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503599631529125,4503599631529079,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503599631529126,4503599631529079,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503599631529127,4503599631529079,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
