service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
4785078899048836,1,1,0,0,0,0,0,20140428,20141231
4785078899048858,0,0,1,0,0,0,0,20140101,20150101
4785078899049044,1,1,1,1,1,0,0,20140106,20150331
4785078899049046,1,1,1,1,0,0,0,20140106,20150331
4785078899049048,1,1,1,1,0,1,0,20140104,20150331
4785078899049051,1,1,1,1,0,0,0,20140106,20150331
4785078899049061,0,0,0,0,1,0,0,20140110,20150327
4785078899049069,0,0,0,0,0,1,0,20140104,20150328
4785078899049077,0,0,0,0,0,0,1,20140105,20150329
4785078899049087,0,0,0,0,1,0,1,20140105,20150329
4785078899049090,0,0,0,1,1,0,0,20140102,20150211
4785078899049092,0,0,0,1,0,0,0,20140102,20150211
4785078899049106,0,0,0,1,0,0,0,20140102,20150211
4785078899049108,0,0,0,0,1,0,0,20140103,20150102
4785078899049159,0,0,1,0,0,0,0,20140101,20150101
4785078899049170,0,0,0,0,1,1,0,20140103,20150328
